54,"Неисправность источника опорного напряжения на плате LMP","При повторном появлении в течение 1 часа – заменить плату LMP.
"
55,"Частота мигания не соответствует норме","Проверить питающее напряжение платы LMP. При повторном появлении в течение 1 часа – связаться с сервисным центром.
"
56,"Напряжение не соответствует норме","Проверить предохранители. Проверить наличие и параметры питающего напряжения платы LMP. (см. п. Предохранители на плате LMP)
"
57,"Системная ошибка в сигнальном контроллере","За этим кодом следует перезапуск ОК. Аппаратная или программная ошибка. При двукратном и более появлении в течение 1 часа – заменить плату LMP. 
"
58,"Неправильный приказ на включение сигнального показания","При появлении связаться с сервисным центром. Программная ошибка.
"
59,"Внутренний тест аппаратуры не проходит","""Проверить соответствие существующей схемы включения сигнала проектной документации; проверить электрические параметры кабеля (сопротивление изоляции; целостность экрана, заземление экрана только со стороны кросса); В случае сопровождения аларма указанием конк-ретного выхода (А1 – АС) – заменить плату МОТ (Смотри внутренний тест аппаратуры)""
"
5A,"Превышение предела расхождения токов ламп, используемых в одном сигнальном показании, (10 %).","Проверить напряжение на лампах, задействованных в показании. Замерить ток в первичной цепи этих ламп. При различии более 10% выяснить причину и устранить.
"
5B,"Частота входного напряжения не соответствует норме.","Проверить входное напряжение платы LMP. Возможно появление кода при питании от резервных генераторов (для входных светофоров). (См. п. Частота входного напряжения не соответствует норме (5В)
"
5C,"Сбой при контроле целостности холодных нитей ламп.","Проверить кабели до светофора. При двукратном и более появлении в течение 1 часа – заменить плату LMP.
"
5D,"Обнаружено понижение изоляции кабеля или заземление.","При повторном появлении в течение 1 часа – прове-рить изоляцию кабеля до светофора (с монтажом) для всех светофоров, подключенных к данной обмотке PSU61-R. Если сопротивление изоляции нормальное, а код появляется снова – заменить плату LMP. (см. п. Понижение изоляции кабеля (Аларм 5D)
"
5E,"Расхождение прямого и обратного токов.","За этим кодом следует перезапуск ОК. Проверить изоляцию кабеля до светофора. Особенно следует обратить внимание на сообщение жил идущих с разных плат LMP. На станциях с удалённым расположением сигналов от поста ЭЦ аларм может быть вызван токами, наводимыми от сигналов, идущих в одном кабеле с данным сигналом. В этом случае необходимо максимально развести жилы от разных сигналов по разным кабелям. Если кабель исправен – при двукратном и более появлении в течение 1 часа – заменить плату LMP. (см. п. Расхождение прямого и обратного токов)
"
5F,"Ошибка в програм-ме сигнального ОК","При двукратном и более появлении в течение 1 часа – связаться с сервисным центром.
"
93,"Плата CCM/ССМ-Е настроена неправильно BD61","Связаться с сервисным центром.
"
94,"Плата CCM/ССМ-Е настроена неправильно AD61","Связаться с сервисным центром.
"
A1,"Неисправность выхода","Выход 1 первой платы LMP
"
A2,"Неисправность выхода","Выход 2 первой платы LMP
"
A3,"Неисправность выхода","Выход 3 первой платы LMP
"
A4,"Неисправность выхода","Выход 4 первой платы LMP
"
A5,"Неисправность выхода","Выход 5 первой платы LMP
"
A6,"Неисправность выхода","Выход 6 первой платы LMP
"
A7,"Неисправность выхода","Выход 1 второй платы LMP
"
A8,"Неисправность выхода","Выход 2 второй платы LMP
"
A9,"Неисправность выхода","Выход 3 второй платы LMP
"
AA,"Неисправность выхода","Выход 4 второй платы LMP
"
AB,"Неисправность выхода","Выход 5 второй платы LMP
"
AC,"Неисправность выхода","Выход 6 второй платы LMP
"
B0,"Неисправность на выходе, плата 1, выход 1","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B1,"Неисправность на выходе, плата 1, выход 2","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B2,"Неисправность на выходе, плата 1, выход 3","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B3,"Неисправность на выходе, плата 1, выход 4","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B4,"Неисправность на выходе, плата 2, выход 1","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B5,"Неисправность на выходе, плата 2, выход 2","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B6,"Неисправность на выходе, плата 2, выход 3","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B7,"Неисправность на выходе, плата 2, выход 4","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B8,"Неисправность на выходе, плата 3, выход 1","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
B9,"Неисправность на выходе, плата 3, выход 2","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
BA,"Неисправность на выходе, плата 3, выход 3","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
BB,"Неисправность на выходе, плата 3, выход 4","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
BC,"Неисправность на выходе, плата 4, выход 1","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
BD,"Неисправность на выходе, плата 4, выход 2","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
BE,"Неисправность на выходе, плата 4, выход 3","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
BF,"Неисправность на выходе, плата 4, выход 4","""Убедиться в отсутствии короткого замыкания на указанном выходе.Заменить плату SRC.""
"
D2,"Ошибка соединения платы LMP","Уплотнить плату в разъемах и проверить подсоединение кабеля к плате. При неудаче попробовать заменить плату.
"
D5,"Ошибка соединения платы MOT","Уплотнить плату в разъемах и проверить подсоединение кабеля к плате. При неудаче попробовать заменить плату.
"
D6,"Ошибка в провероч-ном слове платы (ба-зовый пакет программ)","При повторении в течение 1 часа – заменить плату.
"
D7,"Программный сбой","Обнаружена ошибка в базовом пакете программ. При повторении в течение 1 часа связаться с сервисным центром.
"
E0,"Программа управления стрелкой A/B17INIT обнаружила сбой","Возможно появление в случае многократного перевода стрелки без перерыва. В случае повторного появления в течении 1 часа – заменить плату МОТ1/связаться с сервисным центром.
"
E1,"ОК перезапущен","Нормальное сообщение в процессе перезапуска ОК
"
E5,"Программа управ-ления стрелкой AD17 обнаружила сбой","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
E6,"Программа управ-ления стрелкой BD17 обнаружила сбой","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
E7,"Перегрузка про-граммы обработки прерываний CD00.","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
E8,"Переполнение стека","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
E9,"Тест памяти не проходит (от программы CD09)","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
EA,"Неправильная работа программы обработки прерываний CD00","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
EB,"Обнаружена ошибка в базовой программной платформе API","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
EC,"Обнаружена ошибка в базовой программной платформе (от программы VI2TC)","В случае повторного появления в течение 1 часа связаться с сервисным центром.
"
F3,"Программа AD61 управления выходами обнаружила сбой","""От релейного контроллера.В случае повторного появления в течение 1 часа связаться с сервисным центром.""
"
F4,"Программа BD61 управления выходами обнаружила сбой","""От релейного контроллера.В случае повторного появления в течение 1 часа связаться с сервисным центром.""
"
F5,"Сбой при запуске контроллера","""От релейного контроллера.В случае повторного появления в течение 1 часа связаться с сервисным центром.""
"
F6,"Программа AD62 (подготовки кода состояния) обнаружила сбой","""От релейного контроллера.В случае повторного появления в течение 1 часа связаться с сервисным центром.""
"
F7,"Программа BD62 (подготовки кода состояния) обнаружила сбой","""От релейного контроллера.В случае повторного появления в течение 1 часа связаться с сервисным центром.""
"
60,"Отсутствие приказа по линии 2 дольше 1,5 с","Проверить состояние связи прибора с КСн по линии связи 2. Вероятные причины: неисправность интерфейсного кабеля между  КСн и прибором, неисправность КСн, неисправность прибора. Устранить причину вызвавшую неисправность."
